stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42017100804,0.188009274
Pennsylvania,42017100805,0.236025932
Pennsylvania,42017100807,0.170423956
Pennsylvania,42017100808,0.162580895
Pennsylvania,42017100809,0.186703699
Pennsylvania,42017100810,0.248930775
Pennsylvania,42017100811,0.259410938
Pennsylvania,42017100900,0.228177646
Pennsylvania,42017101000,0.238879272
Pennsylvania,42017101100,0.257008329
Pennsylvania,42017101200,0.190505968
Pennsylvania,42017101300,0.229059157
Pennsylvania,42017101401,0.213250068
Pennsylvania,42017101403,0.209627809
Pennsylvania,42017101404,0.194920849
Pennsylvania,42017101405,0.229567227
Pennsylvania,42017101503,0.183600919
Pennsylvania,42017101504,0.176068702
Pennsylvania,42017101505,0.181982636
Pennsylvania,42017101506,0.205117636
Pennsylvania,42017101603,0.247444395
Pennsylvania,42017101605,0.250502092
Pennsylvania,42017101607,0.174976028
Pennsylvania,42017101608,0.218313713
Pennsylvania,42017101609,0.204442786
Pennsylvania,42017101610,0.199246182
Pennsylvania,42017101611,0.204550859
Pennsylvania,42017101700,0.218897683
Pennsylvania,42017101802,0.182715955
Pennsylvania,42017101803,0.220133125
Pennsylvania,42017101804,0.220485916
Pennsylvania,42017101900,0.200377651
Pennsylvania,42017102002,0.185274007
Pennsylvania,42017102003,0.185076619
Pennsylvania,42017102004,0.178047877
Pennsylvania,42017102102,0.208144073
Pennsylvania,42017102103,0.221177386
Pennsylvania,42017102104,0.225204079
Pennsylvania,42017102200,0.248773023
Pennsylvania,42017102300,0.226317663
Pennsylvania,42017102400,0.231721691
